GeoID,NewCases
Afghanistan,136.0
Albania,461.0
Algeria,422.0
Andorra,17.0
Angola,18.0
Argentina,4116.0
Aruba,8.0
Australia,30.0
Austria,1645.0
Azerbaijan,2961.0
Bahamas,13.0
Bahrain,220.0
Bangladesh,1153.0
Barbados,0.0
Belarus,1944.0
Belgium,2170.0
Belize,0.0
Benin,15.0
Bermuda,11.0
Bhutan,3.0
Bolivia,253.0
Bosnia and Herzegovina,0.0
Botswana,0.0
Brazil,25445.0
Brazil__Acre,127.0
Brazil__Alagoas,307.0
Brazil__Amapa,106.0
Brazil__Amazonas,302.0
Brazil__Bahia,1657.0
Brazil__Ceara,1080.0
Brazil__Distrito Federal,409.0
Brazil__Espirito Santo,1496.0
Brazil__Goias,8.0
Brazil__Maranhao,11.0
Brazil__Mato Grosso,254.0
Brazil__Mato Grosso do Sul,1066.0
Brazil__Minas Gerais,3485.0
Brazil__Para,498.0
Brazil__Paraiba,327.0
Brazil__Parana,1660.0
Brazil__Pernambuco,418.0
Brazil__Piaui,337.0
Brazil__Rio Grande do Norte,1280.0
Brazil__Rio Grande do Sul,2157.0
Brazil__Rio de Janeiro,3160.0
Brazil__Rondonia,225.0
Brazil__Roraima,70.0
Brazil__Santa Catarina,3909.0
Brazil__Sao Paulo,0.0
Brazil__Sergipe,913.0
Brazil__Tocantins,183.0
Brunei,0.0
Bulgaria,166.0
Burkina Faso,206.0
Burundi,0.0
Cambodia,1.0
Cameroon,125.0
Canada,6007.0
Canada__Alberta,1286.0
Canada__British Columbia,0.0
Canada__Manitoba,229.0
Canada__New Brunswick,-4.0
Canada__Newfoundland and Labrador,2.0
Canada__Northwest Territories,0.0
Canada__Nova Scotia,2.0
Canada__Nunavut,0.0
Canada__Ontario,2316.0
Canada__Prince Edward Island,0.0
Canada__Quebec,2146.0
Canada__Saskatchewan,226.0
Canada__Yukon,0.0
Cape Verde,12.0
Central African Republic,0.0
Chad,23.0
Chile,2191.0
China,23.0
Colombia,11160.0
Comoros,23.0
Congo,0.0
Costa Rica,0.0
Cote d'Ivoire,28.0
Croatia,1975.0
Cuba,103.0
Cyprus,212.0
Czech Republic,5304.0
Democratic Republic of Congo,98.0
Denmark,2828.0
Djibouti,0.0
Dominica,0.0
Dominican Republic,1322.0
Ecuador,337.0
Egypt,664.0
El Salvador,282.0
Eritrea,0.0
Estonia,575.0
Eswatini,122.0
Ethiopia,457.0
Faeroe Islands,7.0
Fiji,0.0
Finland,309.0
France,12619.0
Gabon,0.0
Gambia,0.0
Georgia,1731.0
Germany,6444.0
Ghana,0.0
Greece,587.0
Greenland,0.0
Guam,0.0
Guatemala,170.0
Guinea,13.0
Guyana,20.0
Haiti,0.0
Honduras,810.0
Hong Kong,74.0
Hungary,2967.0
Iceland,21.0
India,24337.0
Indonesia,6982.0
Iran,6312.0
Iraq,1027.0
Ireland,766.0
Israel,1874.0
Italy,15102.0
Jamaica,89.0
Japan,2455.0
Jordan,2152.0
Kazakhstan,681.0
Kenya,349.0
Kosovo,223.0
Kuwait,204.0
Kyrgyz Republic,343.0
Laos,0.0
Latvia,643.0
Lebanon,1534.0
Lesotho,0.0
Liberia,0.0
Libya,788.0
Lithuania,2930.0
Luxembourg,0.0
Macao,0.0
Madagascar,46.0
Malawi,8.0
Malaysia,1340.0
Mali,27.0
Malta,93.0
Mauritania,140.0
Mauritius,0.0
Mexico,6870.0
Moldova,629.0
Monaco,5.0
Mongolia,32.0
Morocco,1899.0
Mozambique,91.0
Myanmar,947.0
Namibia,277.0
Nepal,588.0
Netherlands,13032.0
New Zealand,5.0
Nicaragua,0.0
Niger,47.0
Nigeria,501.0
Norway,323.0
Oman,648.0
Pakistan,1680.0
Palestine,1427.0
Panama,2755.0
Papua New Guinea,0.0
Paraguay,632.0
Peru,6442.0
Philippines,1745.0
Poland,8590.0
Portugal,3334.0
Puerto Rico,1222.0
Qatar,143.0
Romania,3350.0
Russia,28510.0
Rwanda,61.0
San Marino,0.0
Saudi Arabia,162.0
Senegal,88.0
Serbia,3534.0
Seychelles,0.0
Sierra Leone,12.0
Singapore,19.0
Slovak Republic,2061.0
Slovenia,886.0
Solomon Islands,0.0
Somalia,0.0
South Africa,9445.0
South Korea,926.0
South Sudan,0.0
Spain,0.0
Sri Lanka,594.0
Sudan,202.0
Suriname,41.0
Sweden,0.0
Switzerland,0.0
Syria,145.0
Taiwan,3.0
Tajikistan,37.0
Tanzania,0.0
Thailand,0.0
Timor-Leste,0.0
Togo,20.0
Tonga,0.0
Trinidad and Tobago,26.0
Tunisia,1536.0
Turkey,20316.0
Turkmenistan,0.0
Uganda,485.0
Ukraine,8763.0
United Arab Emirates,1171.0
United Kingdom,35928.0
United Kingdom__England,0.0
United Kingdom__Northern Ireland,0.0
United Kingdom__Scotland,0.0
United Kingdom__Wales,0.0
United States,189099.0
United States Virgin Islands,11.0
United States__Alabama,2548.0
United States__Alaska,183.0
United States__Arizona,5366.0
United States__Arkansas,1536.0
United States__California,41476.0
United States__Colorado,2292.0
United States__Connecticut,0.0
United States__Delaware,480.0
United States__Florida,8401.0
United States__Georgia,5618.0
United States__Hawaii,202.0
United States__Idaho,891.0
United States__Illinois,6003.0
United States__Indiana,6483.0
United States__Iowa,370.0
United States__Kansas,5.0
United States__Kentucky,1757.0
United States__Louisiana,3711.0
United States__Maine,208.0
United States__Maryland,2054.0
United States__Massachusetts,4261.0
United States__Michigan,0.0
United States__Minnesota,2684.0
United States__Mississippi,2222.0
United States__Missouri,2271.0
United States__Montana,551.0
United States__Nebraska,967.0
United States__Nevada,2087.0
United States__New Hampshire,933.0
United States__New Jersey,5175.0
United States__New Mexico,1063.0
United States__New York,9957.0
United States__North Carolina,6900.0
United States__North Dakota,251.0
United States__Ohio,8377.0
United States__Oklahoma,4970.0
United States__Oregon,1116.0
United States__Pennsylvania,6361.0
United States__Rhode Island,0.0
United States__South Carolina,2869.0
United States__South Dakota,391.0
United States__Tennessee,16036.0
United States__Texas,9264.0
United States__Utah,1994.0
United States__Vermont,100.0
United States__Virgin Islands,11.0
United States__Virginia,3876.0
United States__Washington,0.0
United States__Washington DC,259.0
United States__West Virginia,1127.0
United States__Wisconsin,2045.0
United States__Wyoming,174.0
Uruguay,491.0
Uzbekistan,127.0
Vanuatu,0.0
Venezuela,294.0
Vietnam,2.0
Yemen,0.0
Zambia,96.0
Zimbabwe,174.0
